,all felons,black felons,white felons,male felons,female felons
min owed,50,50,50,50,326
max owed,420771,420771,60801,420771,23411
mean owed,1530,1738,1199,1641,1025
median owed,721,721,696,721,696
min dismissed,0,0,0,0,0
max dismissed,52500,52500,28497,52500,3651
mean dismissed,55,60,46,58,38
median_dismissed,0,0,0,0,0
min net,0,0,0,0,0
max net,368271,368271,55106,368271,23361
mean net,1476,1678,1153,1583,988
median net,694,694,686,694,686
min mandatory,50,50,50,50,326
max mandatory,420771,420771,55106,420771,6179
mean mandatory,1359,1524,1097,1456,918
median madatory,703,711,696,709,694
min discretionary,0,0,0,0,2000
max discretionary,200931,200931,59997,200931,22687
mean discretionary,18488,21611,12243,19854,11657
median discretionary,10007,10507,3500,10000,11000
